,participant,session,order,start,end,start_hms,end_hms,place_1,place_2,activity
1,1,reg,53,340,342,5M 40S,5M 42S,co,,
2,2,reg,34,526,652,8M 46S,10M 52S,co,,
3,4,reg,39,172,250,2M 52S,4M 10S,co,,
4,4,reg,175,1484,1494,24M 44S,24M 54S,sk,,
5,6,reg,115,1422,1454,23M 42S,24M 14S,co,,
6,8,reg,37,410,412,6M 50S,6M 52S,co,,
7,8,reg,111,852,904,14M 12S,15M 4S,co,,
8,9,reg,97,680,684,11M 20S,11M 24S,co,,
9,9,reg,462,3434,3436,57M 14S,57M 16S,co,,
10,10,reg,45,326,356,5M 26S,5M 56S,co,,
11,10,reg,162,1254,1274,20M 54S,21M 14S,co,,
12,11,reg,120,1364,1432,22M 44S,23M 52S,co,,
13,11,reg,152,1684,1706,28M 4S,28M 26S,co,,
14,12,reg,19,182,194,3M 2S,3M 14S,table,,
15,12,reg,166,1850,1856,30M 50S,30M 56S,table,,
16,13,reg,30,222,284,3M 42S,4M 44S,co,,
17,13,reg,234,1544,1548,25M 44S,25M 48S,co,,
18,14,reg,43,398,420,6M 38S,7M 0S,co,,
19,14,reg,108,964,1016,16M 4S,16M 56S,co,,
20,14,reg,484,3930,3932,1H 5M 30S,1H 5M 32S,sk,,
21,15,reg,53,248,252,4M 8S,4M 12S,stove,,
22,15,reg,339,1694,1722,28M 14S,28M 42S,co,,
23,15,reg,473,2520,2522,42M 0S,42M 2S,co,,
24,16,reg,91,562,588,9M 22S,9M 48S,co,,
25,17,reg,70,1004,1018,16M 44S,16M 58S,co,,
26,17,reg,123,1464,1568,24M 24S,26M 8S,co,,
27,17,reg,608,5266,5314,1H 27M 46S,1H 28M 34S,co,,
28,18,reg,55,340,344,5M 40S,5M 44S,co,,
29,18,reg,270,1344,1346,22M 24S,22M 26S,co,,
30,19,reg,60,298,300,4M 58S,5M 0S,co,,
31,19,reg,104,660,726,11M 0S,12M 6S,co,,
32,20,reg,50,290,294,4M 50S,4M 54S,co,,
33,20,reg,166,1160,1162,19M 20S,19M 22S,co,,
34,20,reg,316,2238,2240,37M 18S,37M 20S,sk,,
35,20,reg,417,2732,2748,45M 32S,45M 48S,co,,
36,1,new,243,1754,1758,29M 14S,29M 18S,co,,
37,2,new,65,712,782,11M 52S,13M 2S,co,,
38,2,new,161,2380,2384,39M 40S,39M 44S,co,,
39,3,new,81,1236,1284,20M 36S,21M 24S,stove,,
40,4,new,46,384,492,6M 24S,8M 12S,co,,
41,4,new,300,2576,2598,42M 56S,43M 18S,co,,
42,5,new,32,1164,1210,19M 24S,20M 10S,co,,
43,5,new,180,5262,5300,1H 27M 42S,1H 28M 20S,stove,,
44,6,new,159,2626,2668,43M 46S,44M 28S,co,,
45,6,new,206,3274,3286,54M 34S,54M 46S,co,,
46,9,new,60,536,538,8M 56S,8M 58S,co,,
47,9,new,199,1242,1260,20M 42S,21M 0S,co,,
48,10,new,243,2500,2576,41M 40S,42M 56S,co,,
49,10,new,636,5442,5448,1H 30M 42S,1H 30M 48S,stove,,
50,11,new,6,152,166,2M 32S,2M 46S,co,,
51,11,new,91,928,976,15M 28S,16M 16S,co,,
52,11,new,214,2214,2216,36M 54S,36M 56S,co,sk,
53,11,new,452,4052,4122,1H 7M 32S,1H 8M 42S,co,,
54,12,new,181,2162,2194,36M 2S,36M 34S,table,,
55,12,new,212,2336,2372,38M 56S,39M 32S,table,,
56,13,new,32,140,156,2M 20S,2M 36S,co,,
57,13,new,240,952,954,15M 52S,15M 54S,co,,
58,13,new,290,1114,1116,18M 34S,18M 36S,co,,
59,13,new,578,2232,2238,37M 12S,37M 18S,co,stove,
60,14,new,39,270,276,4M 30S,4M 36S,co,,
61,14,new,47,308,310,5M 8S,5M 10S,co,,
62,14,new,371,2996,2998,49M 56S,49M 58S,sk,,
63,15,new,150,940,944,15M 40S,15M 44S,co,,
64,15,new,343,2130,2156,35M 30S,35M 56S,co,,
65,15,new,439,2738,2740,45M 38S,45M 40S,co,,
66,16,new,26,1644,1682,27M 24S,28M 2S,co,,
67,16,new,122,2476,2484,41M 16S,41M 24S,co,,
68,17,new,45,944,950,15M 44S,15M 50S,co,sk,
69,17,new,181,2360,2486,39M 20S,41M 26S,co,,
70,17,new,437,4726,4736,1H 18M 46S,1H 18M 56S,co,stove,
71,18,new,110,684,686,11M 24S,11M 26S,co,,
72,18,new,380,1928,1948,32M 8S,32M 28S,sk,,
73,19,new,50,428,492,7M 8S,8M 12S,co,,
74,20,new,134,4196,4202,1H 9M 56S,1H 10M 2S,co,co,
75,NA,NA,NA,NA,NA,NA,NA,,,
76,2,reg,19,222,268,3M 42S,4M 28S,,,
77,2,reg,28,296,520,4M 56S,8M 40S,,,
78,2,reg,48,680,768,11M 20S,12M 48S,,,
79,2,reg,55,818,820,13M 38S,13M 40S,,,
80,2,reg,68,1186,1214,19M 46S,20M 14S,,,
81,2,reg,135,2100,2118,35M 0S,35M 18S,,,
82,2,reg,226,2748,2772,45M 48S,46M 12S,,,
83,4,reg,7,36,38,36S,38S,,,
84,4,reg,13,56,60,56S,1M 0S,,,
85,4,reg,26,136,138,2M 16S,2M 18S,,,
86,4,reg,29,142,152,2M 22S,2M 32S,,,
87,4,reg,43,260,264,4M 20S,4M 24S,,,
88,4,reg,60,514,728,8M 34S,12M 8S,,,
89,4,reg,109,1062,1068,17M 42S,17M 48S,,,
90,4,reg,158,1416,1418,23M 36S,23M 38S,,,
91,4,reg,163,1432,1438,23M 52S,23M 58S,,,
92,6,reg,11,174,198,2M 54S,3M 18S,,,
93,6,reg,22,298,328,4M 58S,5M 28S,,,
94,6,reg,29,364,500,6M 4S,8M 20S,,,
95,6,reg,51,670,804,11M 10S,13M 24S,,,
96,6,reg,69,914,1052,15M 14S,17M 32S,,,
97,6,reg,84,1108,1136,18M 28S,18M 56S,,,
98,6,reg,89,1148,1196,19M 8S,19M 56S,,,
99,6,reg,102,1308,1346,21M 48S,22M 26S,,,
100,6,reg,192,2254,2270,37M 34S,37M 50S,,,
101,8,reg,1,24,34,24S,34S,,,
102,8,reg,8,96,130,1M 36S,2M 10S,,,
103,8,reg,21,234,350,3M 54S,5M 50S,,,
104,8,reg,32,354,370,5M 54S,6M 10S,,,
105,8,reg,43,424,464,7M 4S,7M 44S,,,
106,8,reg,54,494,500,8M 14S,8M 20S,,,
107,8,reg,57,504,554,8M 24S,9M 14S,,,
108,8,reg,69,598,608,9M 58S,10M 8S,,,
109,8,reg,78,636,686,10M 36S,11M 26S,,,
110,8,reg,81,692,712,11M 32S,11M 52S,,,
111,8,reg,101,804,816,13M 24S,13M 36S,,,
112,8,reg,195,1540,1542,25M 40S,25M 42S,,,
113,9,reg,7,62,102,1M 2S,1M 42S,,,
114,9,reg,27,194,260,3M 14S,4M 20S,,,
